iter	Passed	Remaining
0	140	140148
1	141	70801
2	143	47620
3	144	35920
4	145	28925
5	146	24212
6	146	20824
7	147	18295
8	148	16341
9	149	14752
10	149	13465
11	150	12380
12	151	11477
13	151	10691
14	152	10011
15	153	9411
16	153	8890
17	154	8421
18	155	8004
19	155	7628
20	156	7285
21	156	6979
22	157	6698
23	158	6438
24	159	6205
25	159	5984
26	160	5783
27	161	5592
28	161	5416
29	162	5253
30	163	5098
31	163	4952
32	164	4815
33	164	4686
34	165	4566
35	166	4451
36	166	4342
37	167	4238
38	168	4144
39	168	4053
40	169	3965
41	170	3882
42	170	3802
43	171	3727
44	172	3654
45	172	3585
46	173	3516
47	174	3453
48	174	3391
49	175	3333
50	175	3274
51	176	3220
52	177	3170
53	178	3120
54	178	3071
55	179	3022
56	179	2977
57	180	2936
58	181	2892
59	181	2850
60	182	2811
61	183	2772
62	184	2736
63	184	2700
64	185	2665
65	186	2633
66	186	2598
67	186	2562
68	187	2531
69	188	2500
70	188	2470
71	189	2441
72	190	2412
73	190	2385
74	191	2359
75	191	2333
76	192	2309
77	193	2284
78	193	2259
79	194	2235
80	194	2212
81	195	2191
82	196	2169
83	197	2148
84	197	2125
85	198	2105
86	198	2082
87	199	2065
88	200	2047
89	200	2028
90	201	2011
91	201	1992
92	202	1975
93	203	1958
94	203	1942
95	204	1925
96	205	1908
97	205	1893
98	206	1877
99	206	1861
100	207	1846
101	207	1829
102	208	1815
103	209	1801
104	209	1787
105	210	1774
106	210	1760
107	211	1748
108	212	1735
109	212	1723
110	213	1710
111	214	1698
112	214	1686
113	215	1674
114	216	1662
115	216	1650
116	217	1639
117	217	1628
118	218	1616
119	218	1605
120	219	1595
121	220	1584
122	220	1572
123	221	1562
124	221	1553
125	222	1543
126	223	1533
127	223	1521
128	224	1512
129	224	1503
130	225	1494
131	226	1486
132	226	1477
133	227	1469
134	227	1460
135	228	1451
136	229	1443
137	229	1433
138	230	1425
139	230	1416
140	231	1409
141	231	1400
142	232	1392
143	233	1385
144	233	1377
145	234	1370
146	234	1363
147	235	1356
148	236	1349
149	237	1343
150	237	1336
151	238	1329
152	238	1322
153	239	1315
154	240	1309
155	240	1302
156	241	1295
157	241	1288
158	242	1282
159	243	1276
160	243	1270
161	244	1265
162	245	1258
163	245	1253
164	246	1247
165	247	1241
166	247	1236
167	248	1230
168	249	1224
169	249	1218
170	250	1212
171	250	1207
172	251	1201
173	251	1196
174	252	1190
175	253	1185
176	253	1180
177	254	1174
178	254	1169
179	255	1164
180	255	1158
181	256	1153
182	257	1148
183	257	1143
184	258	1138
185	259	1133
186	259	1129
187	260	1124
188	260	1119
189	261	1115
190	262	1110
191	262	1105
192	263	1101
193	263	1096
194	264	1092
195	265	1087
196	265	1083
197	266	1078
198	266	1074
199	267	1069
200	268	1066
201	268	1061
202	269	1057
203	270	1053
204	270	1049
205	271	1045
206	271	1041
207	272	1037
208	273	1033
209	273	1029
210	274	1025
211	274	1022
212	275	1018
213	276	1015
214	276	1011
215	277	1007
216	278	1003
217	278	999
218	279	996
219	279	992
220	280	988
221	281	985
222	281	981
223	282	978
224	282	974
225	283	971
226	284	967
227	284	964
228	285	960
229	285	957
230	286	953
231	287	950
232	287	947
233	288	943
234	288	940
235	289	937
236	290	933
237	290	930
238	291	928
239	292	924
240	292	921
241	293	918
242	293	915
243	294	912
244	294	909
245	295	905
246	296	903
247	296	900
248	297	897
249	298	894
250	298	891
251	299	888
252	299	885
253	300	883
254	301	880
255	301	877
256	302	874
257	302	871
258	303	868
259	304	865
260	304	862
261	305	859
262	305	856
263	306	854
264	306	851
265	307	848
266	308	846
267	308	843
268	309	840
269	310	838
270	310	836
271	311	833
272	312	831
273	312	828
274	313	826
275	313	823
276	314	821
277	315	818
278	315	816
279	316	814
280	317	812
281	317	809
282	318	807
283	319	804
284	319	802
285	320	799
286	321	797
287	321	795
288	322	792
289	322	790
290	323	787
291	323	785
292	324	782
293	325	780
294	325	778
295	326	775
296	326	773
297	327	771
298	328	769
299	328	766
300	329	764
301	329	762
302	330	760
303	331	757
304	331	755
305	332	753
306	332	751
307	333	749
308	334	747
309	334	745
310	335	742
311	335	740
312	336	738
313	337	736
314	337	734
315	338	732
316	339	730
317	339	728
318	340	726
319	340	724
320	341	722
321	342	720
322	342	718
323	343	716
324	343	714
325	344	712
326	345	710
327	345	708
328	346	706
329	347	704
330	347	702
331	348	700
332	348	698
333	349	696
334	350	694
335	350	692
336	351	690
337	351	689
338	352	687
339	353	685
340	353	683
341	354	681
342	354	679
343	355	678
344	356	676
345	356	674
346	357	672
347	357	670
348	358	668
349	358	666
350	359	664
351	360	662
352	360	661
353	361	659
354	361	657
355	362	655
356	362	653
357	363	651
358	364	650
359	364	648
360	365	646
361	365	644
362	366	643
363	367	641
364	367	640
365	368	638
366	369	636
367	369	634
368	370	633
369	370	631
370	371	629
371	372	628
372	372	626
373	373	625
374	374	623
375	374	622
376	375	620
377	376	619
378	376	617
379	377	616
380	378	614
381	378	612
382	379	611
383	380	609
384	380	608
385	381	606
386	381	605
387	382	603
388	383	601
389	383	600
390	384	598
391	385	597
392	385	595
393	386	594
394	387	592
395	387	591
396	388	589
397	388	588
398	389	586
399	390	585
400	390	583
401	391	582
402	392	581
403	392	579
404	393	578
405	394	576
406	394	575
407	395	573
408	396	572
409	396	571
410	397	569
411	398	568
412	398	566
413	399	565
414	400	564
415	400	562
416	401	561
417	402	559
418	402	558
419	403	557
420	403	555
421	404	554
422	405	552
423	406	551
424	406	550
425	407	548
426	408	547
427	408	546
428	409	544
429	409	543
430	410	541
431	411	540
432	411	539
433	412	537
434	413	536
435	413	535
436	414	533
437	415	532
438	415	531
439	416	529
440	416	528
441	417	527
442	418	525
443	418	524
444	419	523
445	420	521
446	420	520
447	421	519
448	421	517
449	422	516
450	423	515
451	424	514
452	424	512
453	425	511
454	426	510
455	426	508
456	427	507
457	427	506
458	428	505
459	429	503
460	429	502
461	430	501
462	431	500
463	431	498
464	432	497
465	432	496
466	433	494
467	434	493
468	434	492
469	435	491
